Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.047,0.0000,9.3638,0.0000
0.075,0.0000,9.3638,0.0000
0.112,0.0000,9.3638,0.0000
0.148,0.0000,9.3638,0.0000
0.175,0.0000,9.3638,0.0000
0.207,0.0000,9.3638,0.0000
0.245,0.0000,9.3638,0.0000
0.274,0.0000,9.3638,0.0000
0.303,0.0000,9.3638,0.0000
0.334,0.0000,9.3638,0.0000
0.363,0.0000,9.3638,0.0000
0.391,0.0000,9.3638,0.0000
0.420,0.0000,9.3638,0.0000
0.448,0.0000,9.3638,0.0000
0.478,0.0000,9.3638,0.0000
0.516,0.0000,9.3638,0.0000
0.549,0.0000,9.3638,0.0000
0.581,0.0000,9.3638,0.0000
0.608,0.0000,9.3638,0.0000
0.635,0.0000,9.3638,0.0000
0.664,0.0000,9.3638,0.0000
0.692,0.0000,9.3638,0.0000
0.716,0.0000,9.3638,0.0000
0.744,0.0000,9.3638,0.0000
0.772,0.0000,9.3638,0.0000
0.800,0.0000,9.3638,0.0000
0.830,0.0000,9.3638,0.0000
0.859,0.0000,9.3638,0.0000
0.891,0.0000,9.3638,0.0000
0.921,0.0000,9.3638,0.0000
0.953,0.0000,9.3638,0.0000
0.982,0.0000,9.3638,0.0000
1.014,0.0000,9.3638,0.0000
1.041,0.0000,9.3638,0.0000
1.069,0.0000,9.3638,0.0000
1.097,0.0000,9.3638,0.0000
1.122,0.0000,9.3638,0.0000
1.146,0.0000,9.3638,0.0000
1.173,0.0000,9.3638,0.0000
1.201,0.0000,9.3638,0.0000
1.229,0.0000,9.3638,0.0000
1.260,0.0000,9.3638,0.0000
1.287,0.0000,9.3638,0.0000
1.316,0.0000,9.3638,0.0000
1.343,0.0000,9.3638,0.0000
1.372,0.0000,9.3638,0.0000
1.400,0.0000,9.3638,0.0000
1.430,0.0000,9.3638,0.0000
1.457,0.0000,9.3638,0.0000
1.486,0.0000,9.3638,0.0000
1.517,0.0000,9.3638,0.0000
1.545,0.0000,9.3638,0.0000
1.573,0.0000,9.3638,0.0000
1.601,0.0000,9.3638,0.0000
1.630,0.0000,9.3638,0.0000
1.658,0.0000,9.3638,0.0000
1.686,0.0000,9.3638,0.0000
1.717,0.0000,9.3638,0.0000
1.745,0.0000,9.3638,0.0000
1.775,0.0000,9.3638,0.0000
1.804,0.0000,9.3638,0.0000
1.838,0.0000,9.3638,0.0000
1.870,0.0000,9.3638,0.0000
1.897,0.0000,9.3638,0.0000
1.922,0.0000,9.3638,0.0000
1.949,0.0000,9.3638,0.0000
1.977,0.0000,9.3638,0.0000
2.006,0.0000,9.3638,0.0000
2.034,0.0000,9.3638,0.0000
2.062,0.0000,9.3638,0.0000
2.093,0.0000,9.3638,0.0000
